Acquisition time,Run mode,Vacuum pressure,Shutter Position,Duration (s),Count,Lens coil current (A),u(Lens coil current) (A),Bias coil current (A),u(Bias coil current) (A),Magnetometer x position,Magnetometer y position,Magnetometer x-axis field strength (µT),u(Magnetometer x-axis field strength) (µT),Magnetometer y-axis field strength (µT),u(Magnetometer y-axis field strength) (µT),Magnetometer z-axis field strength (µT),u(Magnetometer z-axis field strength) (µT)
2020-08-06 11:33:40+10:00,Constant time,Unknown,Open,600.011,2366,0.99322632103691,0.0005,0.0,0.0005,0,0,-359.445064805583,0.3,199.487637088734,0.3,297.346859421735,0.3
2020-08-06 11:46:05+10:00,Constant time,Unknown,Open,600.011,298,0.0,0.0005,0.0,0.0005,0,0,-72.2504960317461,0.3,86.3858134920637,0.3,171.025396825397,0.3
2020-08-06 11:56:21+10:00,Constant time,Unknown,Open,600.005,410,1.99286122047242,0.0005,0.0,0.0005,0,0,-639.615255905511,0.3,304.087007874015,0.3,418.320767716535,0.3
2020-08-06 12:06:50+10:00,Constant time,Unknown,Open,600.008,279,0.0,0.0005,0.0,0.0005,0,0,-72.3486646884272,0.3,85.9836795252226,0.3,171.350148367952,0.3
2020-08-06 12:18:06+10:00,Constant time,Unknown,Open,600.006,289,2.99303386454183,0.0005,0.0,0.0005,0,0,-913.546015936256,0.3,401.143326693227,0.3,533.175199203189,0.3
2020-08-06 12:28:23+10:00,Constant time,Unknown,Open,600.001,301,0.0,0.0005,0.0,0.0005,0,0,-72.3314685314686,0.3,86.1548451548452,0.3,171.370429570429,0.3
2020-08-06 13:01:10+10:00,Constant time,Unknown,Open,600.001,2554,0.993392156862766,0.0005,0.18902058823529,0.0005,400,190,-367.467745098039,0.3,0.15941176470588,0.3,150.004607843137,0.3
2020-08-06 13:14:29+10:00,Constant time,Unknown,Open,600.001,266,0.0,0.0005,0.18904930966469,0.0005,400,190,-19.1258382642998,0.3,38.6225838264301,0.3,2.73560157790927,0.3
2020-08-06 13:39:36+10:00,Constant time,Unknown,Open,600.005,1988,0.99343413173655,0.0005,0.830925149700589,0.0005,400,190,-362.618562874251,0.3,-35.8669660678642,0.3,148.251696606786,0.3
2020-08-06 13:52:02+10:00,Constant time,Unknown,Open,600.005,1727,1.24268706811451,0.0005,0.831062191510356,0.0005,400,190,-449.993780848964,0.3,-44.9114511352419,0.3,185.447581441263,0.3
2020-08-06 14:03:48+10:00,Constant time,Unknown,Open,600.008,679,1.4937099311701,0.0005,0.830911504424769,0.0005,400,190,-537.935398230089,0.3,-53.9058997050147,0.3,223.455948869223,0.3
2020-08-06 14:14:28+10:00,Constant time,Unknown,Open,600.007,676,1.74206804733725,0.0005,0.831112426035495,0.0005,400,190,-625.549408284024,0.3,-62.6779092702168,0.3,261.650197238659,0.3
2020-08-06 14:26:00+10:00,Constant time,Unknown,Open,600.004,411,1.99288165680471,0.0005,0.831041420118333,0.0005,400,190,-714.122090729784,0.3,-71.3580867850098,0.3,300.39516765286,0.3
2020-08-06 14:37:20+10:00,Constant time,Unknown,Open,600.004,265,2.24291265947005,0.0005,0.831057899901856,0.0005,400,190,-803.344553483807,0.3,-80.0112855740923,0.3,338.862512266928,0.3
2020-08-06 14:49:17+10:00,Constant time,Unknown,Open,600.005,306,2.49285672227673,0.0005,0.830960745829234,0.0005,400,190,-891.951717369971,0.3,-88.2248282630028,0.3,377.467320902846,0.3
2020-08-06 15:00:32+10:00,Constant time,Unknown,Open,600.000,327,2.7443121902874,0.0005,0.830986124876107,0.0005,400,190,-981.256392467788,0.3,-96.5300297324083,0.3,416.376610505451,0.3
2020-08-06 15:11:29+10:00,Constant time,Unknown,Open,600.009,285,2.99307944389274,0.0005,0.83096623634557,0.0005,400,190,-1069.90218470705,0.3,-104.748460774578,0.3,454.825819265144,0.3
2020-08-06 15:23:34+10:00,Constant time,Unknown,Open,600.002,321,3.24455631733593,0.0005,0.831024485798228,0.0005,400,190,-1159.91273261508,0.3,-112.642213516161,0.3,494.205484818805,0.3
2020-08-06 15:34:25+10:00,Constant time,Unknown,Open,600.006,259,3.49334799608993,0.0005,0.830999999999991,0.0005,400,190,-1249.45356793744,0.3,-120.520332355816,0.3,532.30742913001,0.3
